black blackness blacken	white
meeting see receive contact satisfy merging match converge meet suffer	
illustrate instance	
attire overdressed	
takeoff burlesque charade spoof travesty parody mockery	
birdsong call song	
put couch lounge sofa cast frame	
bring soil estate country state farming realm earth shore commonwealth	
growl rumble grumble	
propose counsel notify advise suggest	
participate enter	
bias predetermined	
lime linden	
end leftover remainder remnant	
summoning summon mobilize rally muster summons mobilise marshal cite	
support certification corroboration documentation	
armed fortify arm	unarmed disarm
icebox refrigerator	
matter content discipline study subject topic theme case field national	
contend administer deal lot dealings handle treat conduct cope transaction	
fantasize fantasy	
stutter stammer falter bumble	
near approach	
corner package box	
store snitch sponsor grass browse workshop shit denounce stag	boycott
dissident contestant protester	
fresh refreshed review refresh freshen	tire
accompaniment complement	
surpass outdo scoop best exceed trump	
u uranium	
evilly wickedly	
reclaim cultivate moderate tame meek tamed subdue	wild
cornered corner trapped tree	
output production yield turnout	
bizarre eccentric gonzo outlandish freaky freakish flaky	
slump slouch	
crevice cranny cleft fissure chap crack	
wrath ira ire anger	
stimulate agitate sway shake excite stir rock shook	
virtually nigh near almost most about nearly	
drama play	
thence thereof	
bar block barred barricade stop blockade barricaded	
pitch hawk monger peddle	
opus composition piece	
compare equate	
kneel kneeling	
skim skip vamoose skitter hop jump cut	
overt open	covert
timed time clock	
noodle dome bean noggin attic	
moat fosse	
presumption given assumption	
debut unveiling entry launching introduction	
revenge retaliation	
overwhelm submerge drown swim	
interpret study read learn take scan show translate record understand	
wood forest woods	
vacate desolate abandon empty abandoned forsake desert deserted derelict	
pest pestilence plague cuss	
overseer super superintendent	
virulent deadly lethal mortal pernicious deathly venomous	
embark enter venture ship	disembark
plastered tight smashed besotted cockeyed wet affluent sloshed charge	unloaded
upset distress distressed unhappy disturbed stressed worried	euphoric
assess appraise value measure survey evaluate	
economy saving	
genial affable cordial amiable kind mental	
rightful lawful true	
forever perpetually constantly always incessantly	
wolverine glutton	
slimy suffering pitiable miserable woeful poor deplorable unworthy worthless pathetic	
absorption preoccupation	
frustrate torment fawn crucify rag dun	
carnal sensual animal sultry	
sneaky underhand underhanded	
infer deduce derive subtract deduct withhold recoup	add
fruitcake methamphetamine trash cranky meth tender chalk tippy crackpot nut	
drop offload discharge unload unloading	loading
able capable	unable
decree fiat edict order	
gargle rinse	
pip blip	
quirky perverted kinky frizzy crisp nappy	
shades sunglasses	
dictate order prescribe	
leading astral stellar prima star starring	
shift shimmy tilt wobble	
jeweller jeweler	
incinerate burn	
link contact liaison tie nexus connect join links connection	disconnect
catalog catalogue	
irritating annoying pestering pester teasing vexing bug badger pesky bothersome	
dada dad daddy pop pappa papa pa	
dishonour shame dishonor outrage ravish disgrace assault rape violate	honor
bed know screw sock bop fuck hump bonk love bang	
cold coolness coldness	hotness
wall contend fence surround argue debate	
wage engage wag	
underpass subway	
bond hamper shackle	
sane reasonable	insane
howl roar bellow holler boom holla thunder bellowing hollering wail	
stump stomp tender boss postage seal stereotype mould cast stamp	
jittery edgy jumpy uptight	
check checker	
assessment judgement opinion judging judgment mind	
beltway shunt bypass	
fedora trilby	
thesis dissertation	
auntie aunt aunty	uncle
scowl lower frown	
turmoil uproar ruckus tumult rumpus commotion din	
foliage riff flick leaf flip thumb	
shot diagonal slash accident stroke throw stroking	
blond blonde	
publicity promotion advancement forwarding packaging	demotion
telephone phone call ring	
glitter twinkle light foam sparkle froth fizz spark	
heavenly celestial	earthly
accentuate tension emphasize emphasise strain focus stress try accent emphasis	
sporty jazzy flashy gaudy showy	
hammerhead knucklehead bonehead blockhead dunce	
inexcusable unforgivable	
cot crib	
flourish thrive enlarge elaborate boom extend dilate inflate expand	contract
headfirst headlong hasty	
launder rinse dampen wash washing laundry lap	
mount rise wax climb waxing full	wane waning
commission licensed commissioned accredited	
idiom parlance	
painstaking conscientious scrupulous	
make create produce	
permit permission license	
parcel assign part share constituent helping dowry component fortune percentage	
hair whisker	
snobby snobbish	
treble triad trio triple	
spine sticker thorn	
pass elapsed lapse	
werewolf wolfman	
collaborate cooperate	
wedged impacted affect touch impact	
allegory legend fable parable fiction fabrication	
cream clobber lick thrash work bat licking solve lap	victory
instruction instruct learn commandment teach education teaching	
rejoicing triumphal triumphant prideful	
dingy raunchy grimy grubby	
loot strip foray pillage ransack rifle plunder raid	
look see advert hang serve assist attend	miss
dotted speckled	
dance dancing	
foreign unknown extraterrestrial alien exotic foreigner stranger alienate	citizen acquaintance
slight fragile tenuous flimsy thin	convincing
rounder libertine circular round	square
inheritance heritage	
allegiance dedication loyalty commitment consignment	
bottom rump stern strict fanny ass tush quarter posterior keister	
wad ram jam cram bone drum	
fiddling superficial trivial little petty	
senseless pointless wasted superfluous	pointed
float drift swim blow	sink
canvassing poll analyze canvas study canvass analyse examine	
bring establish constitute found plant institute	
cleave stick crevice dissected cleft split fissure adhere cling crack	
fountain run flush flood discharge spring gush outpouring onslaught overflow	
shadowy feeble weak vague light lightheaded faint conk dim timid	
feeble gimpy halt crippled square game cripple lame	
presumption given	
everlasting perfect utter earthy glaring stark vulgar egregious complete	net
essay try attempt seek search	
inheritance heritage	
belittle lessen fall diminish decrease diminishing	increase
trinket novelty bauble bangle	
send consecrate pull put charge give dedicate commit trust entrust	
issue offspring young progeny	
quickest speedy spry agile fast flying quick nimble immediate warm	
contact link liaison touch middleman reach meet striking	
meow mew	
distrust suspicion mistrust intuition hunch	
lead contributing bring bestow conducive add contribute lend give impart	
yearbook annual yearly	
administration disposal disposition	
hundred c century	
trip activate trigger spark	
poof cigarette fagot pansy faggot tire labour butt wear	refresh
replenish refill	
temporary temp	
question interview consultation audience	
parachute jump slide chute	
bungalow cottage	
gasp pant puff drag draw heave whiff puffed huff	
consort chorus choir	
darkened darken	brighten lighten
happening occurrence	
yip yelping yap yelp	
discotheque disco	
flop founder break collapse give father beginner	
hover thrill resonate vibrate tickle	
helpless lost incapacitated	
webby netted net lacy sack web webbed clear	
deduct withhold recoup	
breezy windy	
locating position fix positioning placement location	studio
bait twit rally cod rag ride taunt tease	
snatch rupture flick photograph bust snarl tear shoot snap click	
die perish expire go croak conk leave pass choke	enter
ill ailment charge complaint	
deterrent handicap hitch interference check impediment preventative hindrance preventive	
squat hunker crouch squatting	
staircase stairway	
beetle mallet	
float drift swim blow	sink
mete marginal borderline border	
robot golem automaton	
butt ring bound edge abut march surround skirt frame border	
lotion application	
overturn vacate reverse rescind annul revoke repeal lift renege	
dominant prevailing prevalent rife	
portrayal portrait	
password parole word	
release rout emission discharge oust expel eject exhaust expelling	
breathe rest emit	
suspect distrust suspicion mistrust	trust
pervert misuse abuse	
abortion miscarriage	
snotty snooty	
understanding pinch apprehension arrest dread savvy catch collar	
discriminate separate	
abandon wildness violence ferocity fury	
homely plain homey	
spud tater murphy shoot sprout potato	
footstep tone mistreat abuse step pace tread measure stair footprint	
remission absolution	
analyze canvas study canvass analyse dissect examine	synthesize
press movement agitate push run crusade cause drive safari fight	
detector sensor	
tart tangy	
whinny neigh	
release discharge waiver	
stud dot doting fond sprinkle scatter disperse dust adoring dote	
